Id,Program,Y0s1_enrol,Y0s2_enrol,Y1s1_enrol,Y1s1_complete,Y1s1_grade,Y1s2_enrol,Y1s2_complete,Y1s2_grade,Y2s1_enrol,Y2s1_complete,Y2s1_grade,Y2s2_enrol,Y2s2_complete,Y2s2_grade,Y3s1_enrol,Y3s1_complete,Y3s1_grade,Y3s2_enrol,Y3s2_complete,Y3s2_grade,Y4s1_enrol,Y4s1_complete,Y4s1_grade,Y4s2_enrol,Y4s2_complete,Y4s2_grade,Rest_enrol,Rest_complete,Rest_grade,Failure
131396368,0,33,47,36,27,11,36,30,12.2,42,6,10,30,18,11,0,0,0,0,0,0,0,0,0,0,0,0,61,24,12,0
131384975,3,30,30,33,33,15.394,30,30,17.667,30,27,14.556,30,30,16.333,30,30,12.567,30,30,14.267,0,0,0,0,0,0,0,0,0,0
111364542,3,24,30,30,30,14.733,37,37,15.378,30,30,13.167,37,30,15,30,30,12.467,30,23,12.391,0,0,0,0,0,0,0,0,0,0
131384666,1,33,42,0,0,0,0,0,0,27,0,0,30,0,0,21,0,0,24,0,0,30,3,14,30,0,0,0,0,0,0
131384336,3,30,30,36,36,15.889,30,30,18.667,30,24,16.167,30,30,16,30,30,14.3,30,30,13.933,0,0,0,0,0,0,0,0,0,0
131387431,3,30,30,30,30,14.333,36,30,13.067,30,30,13.333,42,39,13.564,33,27,12.074,38,24,12.958,0,0,0,0,0,0,0,0,0,0
131388536,0,26,57,36,36,11.75,36,30,13,30,22,12.045,30,19,11.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131387783,1,27,30,30,3,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131382186,2,30,30,30,30,14.7,36,36,13.75,30,24,12.5,30,30,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111345850,3,30,30,20,20,18,26,26,15.038,34,34,15.588,26,26,15.308,30,28,14.571,30,30,16.8,0,0,0,0,0,0,0,0,0,0
111364568,3,24,30,30,30,16,30,30,15,30,30,14.833,30,30,17,30,30,14.4,30,30,15.833,0,0,0,0,0,0,0,0,0,0
131387616,3,30,33,30,30,18,30,30,15.5,30,30,17,30,30,15.233,33,30,13.933,30,30,13.467,0,0,0,0,0,0,0,0,0,0
131384991,2,30,36,30,30,13.2,42,30,14.5,30,30,12.6,30,24,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131385864,2,36,48,24,6,13,48,18,12.833,30,18,11.167,30,9,12.667,21,21,13.571,18,18,12.333,0,0,0,0,0,0,0,0,0,0
131385127,3,12,20,30,30,15,30,10,18,30,30,14.933,30,30,15.667,30,30,12.433,30,30,13.7,0,0,0,0,0,0,0,0,0,0
131386493,0,16,31,30,30,12.733,39,33,13.97,35,8,12.25,21,0,0,34,18,12.667,36,36,12,30,19,11,30,9,10.667,0,0,0,0
131415358,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131385111,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131390312,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131389244,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131382670,1,30,36,30,30,13.1,30,30,12.8,30,27,11.889,30,30,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131385729,3,9,10,34,31,14.226,30,20,16.5,28,22,14.864,30,30,15,30,20,14.35,27,27,13.037,0,0,0,0,0,0,0,0,0,0
131379484,3,33,30,30,27,12.111,30,30,13.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131391208,2,10,27,28,18,11.667,24,11,12.091,35.5,35.5,12.352,34,29,12.741,36,13,12.308,36,13,12.231,30,13.5,11.556,30,24,13.208,0,0,0,0
131384092,3,30,30,30,30,16.3,30,30,17.667,30,30,16.367,30,30,15.333,30,30,13.3,30,30,15.067,0,0,0,0,0,0,0,0,0,0
131388192,2,30,30,30,30,14.467,30,30,15.35,30,30,14.5,30,30,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111335826,3,30,30,30,30,15.867,30,30,17.667,30,30,15.367,30,30,17.333,30,30,15.3,30,30,15.6,0,0,0,0,0,0,0,0,0,0
131388639,3,30,30,30,30,16.533,30,30,18,30,30,15.967,30,30,17.333,30,30,13.533,30,30,15.067,0,0,0,0,0,0,0,0,0,0
131382216,2,36,36,36,30,11,36,24,11.375,30,24,11.375,30,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131388122,1,8,30,29,18,12.333,42,18,12,36,24,12.25,36,24,13.5,36,28,13.821,42,24,13,30,12,12,30,6,16,0,0,0,0
131384051,3,30,30,30,30,16.333,30,30,17,30,30,14,30,30,17,30,30,13.1,30,30,14.167,0,0,0,0,0,0,0,0,0,0
131380188,1,36,42,30,18,13.833,36,18,13.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131387108,0,26,44,36,36,13.583,36,30,13.4,30,30,12.6,30,24,13.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384012,2,36,36,36,36,12.583,36,36,13.167,30,24,14.875,30,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131382789,2,36,36,36,21,11.714,36,24,12.875,30,24,13.625,30,12,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131382248,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131403561,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131383764,3,33,30,33,30,16.6,30,30,17.333,19,19,15.789,30,30,16.333,31,16,15.5,25,25,14.24,0,0,0,0,0,0,0,0,0,0
